Class,Section,Subject,Name,ID,Roll Number,Attendance (%),Unit Test 1,Unit Test 2,Unit Test 3,Home Tuition (Y/N),Focus (0-10),Homework (0-10),Q&A (0-10),Doubt Asking Rate,Exam Prep (0-10),Special Problems Completion (%)
8,A,Maths,Deepak Rao,8_A_1,80101,90,94,51,63,Y,6,9,6,0.8,7,95
8,A,Science,Deepak Rao,8_A_1,80101,90,54,41,68,N,3,7,2,0.4,7,73
8,A,Social,Deepak Rao,8_A_1,80101,90,81,97,65,Y,10,8,7,0.1,4,58
8,A,English,Deepak Rao,8_A_1,80101,66,91,74,95,N,4,5,10,0.3,8,64
8,A,Hindi,Deepak Rao,8_A_1,80101,73,86,93,94,Y,3,10,6,0.4,5,51
8,A,Arts,Deepak Rao,8_A_1,80101,84,70,49,42,Y,4,10,3,0.6,4,84
8,A,Maths,Priya Choudhury,8_A_2,80102,98,74,86,98,N,10,7,2,0.4,10,52
8,A,Science,Priya Choudhury,8_A_2,80102,80,49,66,62,N,7,8,10,0.9,5,95
8,A,Social,Priya Choudhury,8_A_2,80102,86,99,43,79,N,6,7,3,0.7,10,92
8,A,English,Priya Choudhury,8_A_2,80102,84,61,93,49,Y,3,5,6,0.3,10,47
8,A,Hindi,Priya Choudhury,8_A_2,80102,79,81,96,69,Y,5,10,9,0.5,10,32
8,A,Arts,Priya Choudhury,8_A_2,80102,81,84,64,68,N,5,4,9,0.8,8,97
8,A,Maths,Riya Dutta,8_A_3,80103,73,77,90,91,N,3,9,2,0.4,7,42
8,A,Science,Riya Dutta,8_A_3,80103,76,53,42,94,N,9,4,6,0.7,6,49
8,A,Social,Riya Dutta,8_A_3,80103,92,100,67,60,Y,5,8,8,0.2,3,83
8,A,English,Riya Dutta,8_A_3,80103,74,92,64,68,N,6,3,4,0.5,10,49
8,A,Hindi,Riya Dutta,8_A_3,80103,71,51,83,66,Y,3,4,2,0.8,6,51
8,A,Arts,Riya Dutta,8_A_3,80103,95,48,54,100,N,8,7,6,0.5,9,57
